"sex","age","race","priors_count","charge","is_recid","score"
"Male",23,"Caucasian",3,"Battery",0,7
"Female",30,"Caucasian",5,"Sel Etc/Pos/w/Int Contrft Schd",1,5
"Male",45,"African-American",38,"Felony Battery w/Prior Convict",1,8
"Male",30,"Hispanic",0,"Battery",0,1
"Male",49,"African-American",1,"Battery",0,1
"Male",32,"Hispanic",6,"Battery",1,5
"Male",28,"Caucasian",4,"arrest case no charge",1,4
"Male",49,"African-American",2,"Neglect Child / No Bodily Harm",0,1
"Male",45,"African-American",6,"Possession Of Alprazolam",0,4
"Male",21,"African-American",0,"Burglary Conveyance Armed",0,3
"Female",25,"Hispanic",14,"Burglary Unoccupied Dwelling",0,6
"Male",21,"Caucasian",0,"Tampering With Physical Evidence",0,9
"Male",36,"African-American",2,"Battery",1,9
"Female",24,"African-American",0,"Uttering a Forged Instrument",1,4
"Female",67,"Caucasian",0,"DUI Property Damage/Injury",0,1
"Male",37,"African-American",4,"Battery",1,4
"Female",31,"Caucasian",1,"Battery",1,1
"Male",51,"Caucasian",1,"Grand Theft in the 3rd Degree",0,1
"Female",27,"African-American",1,"Uttering a Forged Instrument",0,3
"Male",41,"Caucasian",1,"Aggrav Battery w/Deadly Weapon",1,1
"Male",34,"Caucasian",11,"Driving While License Revoked",0,4
"Male",23,"African-American",3,"Carrying Concealed Firearm",0,6
"Female",22,"Caucasian",2,"arrest case no charge",1,6
"Male",25,"Caucasian",0,"Disorderly Intoxication",0,9
"Male",22,"African-American",0,"Battery",1,10
"Female",44,"African-American",6,"Possession of Cocaine",0,6
"Male",46,"Caucasian",0,"Aggravated Assault",0,1
"Male",33,"Caucasian",2,"Possession of Oxycodone",0,4
"Male",43,"Caucasian",6,"Assault",1,2
"Male",27,"Hispanic",4,"False Imprisonment",1,2
"Male",21,"African-American",1,"Battery",0,5
"Male",23,"Hispanic",0,"Battery",1,2
"Female",47,"African-American",4,"Battery",0,6
"Male",27,"Caucasian",2,"Felony Batt(Great Bodily Harm)",1,3
"Male",32,"Hispanic",1,"Grand Theft in the 3rd Degree",0,3
"Male",57,"African-American",28,"Possession of Cocaine",1,10
"Male",22,"African-American",1,"Battery",1,6
"Male",33,"African-American",0,"Failure To Return Hired Vehicle",1,1
"Male",63,"African-American",1,"arrest case no charge",0,1
"Female",29,"African-American",0,"Robbery / No Weapon",0,2
"Male",26,"Caucasian",0,"Tampering With Physical Evidence",0,4
"Male",24,"African-American",0,"Viol Injunct Domestic Violence",1,6
"Male",20,"African-American",2,"Felony Batt(Great Bodily Harm)",1,10
"Male",38,"Caucasian",1,"Reckless Driving",1,1
"Male",39,"Caucasian",0,"Grand Theft (Motor Vehicle)",0,2
"Male",34,"Caucasian",5,"arrest case no charge",0,1
"Male",22,"African-American",8,"Burglary Unoccupied Dwelling",1,4
"Male",20,"Asian",2,"Grand Theft in the 3rd Degree",1,10
"Male",40,"Caucasian",0,"Felony Battery (Dom Strang)",0,1
"Male",24,"Hispanic",0,"Battery",0,3
"Male",43,"African-American",5,"arrest case no charge",0,6
"Male",29,"African-American",2,"Possession of Cannabis",1,2
"Female",24,"Caucasian",1,"Burglary Structure Occupied",0,4
"Female",26,"African-American",4,"Felony Battery",1,8
"Male",33,"African-American",3,"Carrying Concealed Firearm",0,4
"Male",23,"African-American",0,"Felony Battery (Dom Strang)",0,2
"Female",30,"Caucasian",3,"Driving While License Revoked",0,5
"Male",44,"African-American",11,"arrest case no charge",1,5
"Male",30,"Caucasian",2,"arrest case no charge",0,3
"Male",51,"Caucasian",4,"Battery",0,1
"Male",36,"African-American",0,"DUI - Enhanced",0,2
"Male",30,"Caucasian",2,"Battery",0,9
"Female",49,"Caucasian",2,"Grand Theft (Motor Vehicle)",0,6
"Male",67,"Caucasian",2,"arrest case no charge",0,2
"Female",30,"Caucasian",2,"Battery",1,1
"Male",28,"African-American",1,"arrest case no charge",0,2
"Male",23,"African-American",0,"Leaving the Scene of Accident",0,3
"Male",57,"Other",0,"Aggravated Battery / Pregnant",0,1
"Female",33,"African-American",3,"Battery on Law Enforc Officer",0,2
